Product_ID,Sale_Date,Sales_Rep,Quantity_Sold,Product_Category,Unit_Cost,Unit_Sale_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Total_Sale_Amount_No_Discount,Total_Sale_Amount_with_Discount,Total_Unit_Cost_of_Sale,Total_Profit_Per_Sale,Provence,Provence_and_Sales_Rep
1024,2023-11-11,Eve,21,Food,622.01,641.09,Returning,0.0,Bank Transfer,Retail,13462.890000000001,13462.89,13062.21,400.68,Connacht,Connacht-Eve
1003,2023-12-31,Alice,30,Furniture,4190.28,4270.65,New,0.2,Cash,Online,128119.49999999999,102495.6,125708.4,-23212.8,Munster,Munster-Alice
1022,2023-08-17,Charlie,21,Food,2537.2,2869.6,New,0.29,Bank Transfer,Retail,60261.6,42785.74,53281.2,-10495.46,Munster,Munster-Charlie
1053,2023-10-16,Bob,48,Furniture,121.19,487.65,New,0.18,Cash,Retail,23407.199999999997,19193.9,5817.12,13376.78,Ulster,Ulster-Bob
1002,2023-05-30,David,17,Furniture,4024.76,4420.15,Returning,0.04,Cash,Online,75142.54999999999,72136.85,68420.92,3715.93,Ulster,Ulster-David
1088,2023-10-04,Bob,40,Electronics,4904.93,5034.35,New,0.1,Credit Card,Retail,201374.0,181236.6,196197.2,-14960.6,Leinster,Leinster-Bob
1030,2023-07-17,David,19,Clothing,3049.33,3209.22,Returning,0.26,Cash,Online,60975.17999999999,45121.63,57937.27,-12815.64,Connacht,Connacht-David
1038,2023-03-11,Bob,15,Clothing,2543.36,2790.1,Returning,0.07,Cash,Online,41851.5,38921.89,38150.4,771.49,Munster,Munster-Bob
1002,2023-04-22,Eve,9,Electronics,4398.16,4439.12,New,0.18,Bank Transfer,Online,39952.08,32760.71,39583.44,-6822.73,Ulster,Ulster-Eve
1064,2023-01-04,Eve,10,Electronics,4764.96,5074.42,New,0.12,Cash,Online,50744.2,44654.9,47649.6,-2994.7,Leinster,Leinster-Eve
1060,2023-12-16,Eve,44,Clothing,3784.96,4276.99,New,0.06,Bank Transfer,Retail,188187.56,176896.31,166538.24,10358.07,Leinster,Leinster-Eve
1021,2023-11-27,Alice,31,Furniture,2254.99,2441.79,Returning,0.24,Bank Transfer,Online,75695.49,57528.57,69904.68999999999,-12376.12,Munster,Munster-Alice
1033,2023-11-14,David,23,Furniture,2981.5,3360.4,Returning,0.22,Bank Transfer,Retail,77289.2,60285.58,68574.5,-8288.92,Munster,Munster-David
1076,2023-12-16,Eve,30,Clothing,3519.63,3774.65,New,0.2,Credit Card,Retail,113239.5,90591.6,105588.90000000001,-14997.3,Leinster,Leinster-Eve
1058,2023-04-05,Alice,33,Furniture,1011.65,1084.28,Returning,0.07,Bank Transfer,Retail,35781.24,33276.55,33384.45,-107.9,Ulster,Ulster-Alice
1022,2023-06-01,David,9,Electronics,2263.65,2558.95,New,0.03,Cash,Online,23030.55,22339.63,20372.850000000002,1966.78,Leinster,Leinster-David
1089,2023-11-07,Bob,47,Furniture,4157.62,4314.56,New,0.17,Bank Transfer,Retail,202784.32,168310.99,195408.13999999998,-27097.15,Connacht,Connacht-Bob
1049,2023-05-17,Alice,1,Furniture,3290.89,3317.75,Returning,0.17,Bank Transfer,Online,3317.75,2753.73,3290.89,-537.16,Connacht,Connacht-Alice
1091,2023-09-04,Charlie,44,Food,2085.46,2406.58,Returning,0.06,Bank Transfer,Retail,105889.51999999999,99536.15,91760.24,7775.91,Munster,Munster-Charlie
1059,2023-08-31,Alice,35,Food,3333.64,3764.52,Returning,0.02,Credit Card,Online,131758.2,129123.04,116677.4,12445.64,Ulster,Ulster-Alice
1042,2023-01-31,Alice,11,Food,635.2,814.14,Returning,0.02,Cash,Online,8955.539999999999,8776.43,6987.200000000001,1789.23,Ulster,Ulster-Alice
1092,2023-02-09,David,34,Furniture,2037.41,2238.65,New,0.3,Credit Card,Online,76114.1,53279.87,69271.94,-15992.07,Connacht,Connacht-David
1060,2023-08-17,Bob,16,Clothing,3975.99,4422.59,New,0.24,Cash,Online,70761.44,53778.69,63615.84,-9837.15,Leinster,Leinster-Bob
1080,2023-02-05,Charlie,9,Electronics,1141.52,1550.19,New,0.28,Credit Card,Retail,13951.710000000001,10045.23,10273.68,-228.45,Munster,Munster-Charlie
1015,2023-08-11,Eve,32,Furniture,970.51,1330.84,Returning,0.06,Cash,Retail,42586.88,40031.67,31056.32,8975.35,Leinster,Leinster-Eve
1062,2023-01-06,Eve,15,Clothing,4756.55,4888.46,New,0.29,Credit Card,Online,73326.9,52062.1,71348.25,-19286.15,Leinster,Leinster-Eve
1062,2023-11-18,Alice,12,Furniture,1088.99,1545.0,Returning,0.04,Bank Transfer,Retail,18540.0,17798.4,13067.880000000001,4730.52,Leinster,Leinster-Alice
1047,2023-08-08,David,33,Electronics,1341.55,1427.21,Returning,0.15,Credit Card,Online,47097.93,40033.24,44271.15,-4237.91,Ulster,Ulster-David
1062,2023-03-16,David,45,Furniture,4849.6,5166.72,Returning,0.25,Credit Card,Online,232502.40000000002,174376.8,218232.00000000003,-43855.2,Connacht,Connacht-David
1051,2023-01-04,Eve,14,Electronics,3686.81,3710.92,New,0.1,Bank Transfer,Retail,51952.880000000005,46757.59,51615.34,-4857.75,Ulster,Ulster-Eve
1055,2023-12-01,Charlie,8,Furniture,3513.0,3838.42,Returning,0.13,Bank Transfer,Online,30707.36,26715.4,28104.0,-1388.6,Connacht,Connacht-Charlie
1064,2023-05-14,Bob,8,Electronics,4271.99,4417.79,Returning,0.04,Cash,Online,35342.32,33928.63,34175.92,-247.29,Munster,Munster-Bob
1003,2023-04-28,Charlie,27,Furniture,623.32,853.66,Returning,0.04,Cash,Online,23048.82,22126.87,16829.640000000003,5297.23,Munster,Munster-Charlie
1051,2023-04-04,Bob,12,Electronics,3544.48,3723.66,Returning,0.19,Cash,Online,44683.92,36193.98,42533.76,-6339.78,Leinster,Leinster-Bob
1007,2023-03-03,Eve,1,Food,2543.26,2637.91,Returning,0.2,Credit Card,Online,2637.91,2110.33,2543.26,-432.93,Connacht,Connacht-Eve
1021,2023-07-13,Bob,43,Furniture,4154.3,4469.07,Returning,0.23,Cash,Retail,192170.00999999998,147970.91,178634.9,-30663.99,Connacht,Connacht-Bob
1073,2023-12-01,David,40,Furniture,2565.3,3007.47,Returning,0.17,Credit Card,Retail,120298.79999999999,99848.0,102612.0,-2764.0,Connacht,Connacht-David
1039,2023-07-22,Alice,42,Clothing,3120.19,3600.14,Returning,0.19,Credit Card,Retail,151205.88,122476.76,131047.98,-8571.22,Leinster,Leinster-Alice
1018,2023-01-26,Alice,11,Clothing,2414.82,2519.07,Returning,0.0,Cash,Online,27709.77,27709.77,26563.02,1146.75,Leinster,Leinster-Alice
1004,2023-06-22,Eve,39,Electronics,2416.89,2778.4,Returning,0.05,Cash,Online,108357.6,102939.72,94258.70999999999,8681.01,Munster,Munster-Eve
1089,2023-10-27,David,43,Furniture,3851.45,4186.98,Returning,0.3,Credit Card,Online,180040.13999999998,126028.1,165612.35,-39584.25,Ulster,Ulster-David
1060,2023-05-13,Charlie,31,Electronics,3161.4,3339.66,Returning,0.02,Bank Transfer,Online,103529.45999999999,101458.87,98003.40000000001,3455.47,Connacht,Connacht-Charlie
1014,2023-11-22,David,17,Food,3184.65,3204.01,New,0.2,Bank Transfer,Online,54468.170000000006,43574.54,54139.05,-10564.51,Connacht,Connacht-David
1009,2023-04-28,Alice,33,Clothing,2278.9,2626.9,New,0.05,Credit Card,Online,86687.7,82353.32,75203.7,7149.62,Ulster,Ulster-Alice
1090,2023-11-20,Alice,32,Electronics,2678.99,3152.28,Returning,0.22,Cash,Retail,100872.96,78680.91,85727.68,-7046.77,Connacht,Connacht-Alice
1053,2023-10-02,David,29,Electronics,3741.3,4061.04,Returning,0.21,Credit Card,Online,117770.16,93038.43,108497.70000000001,-15459.27,Leinster,Leinster-David
1002,2023-07-31,David,21,Clothing,4138.41,4361.7,Returning,0.07,Credit Card,Retail,91595.7,85184.0,86906.61,-1722.61,Leinster,Leinster-David
1084,2023-08-13,Alice,21,Furniture,3497.98,3765.31,New,0.08,Cash,Online,79071.51,72745.79,73457.58,-711.79,Connacht,Connacht-Alice
1092,2023-01-20,Charlie,40,Electronics,4624.16,4731.98,New,0.2,Bank Transfer,Retail,189279.19999999998,151423.36,184966.4,-33543.04,Leinster,Leinster-Charlie
1060,2023-04-23,Eve,23,Clothing,4110.6,4488.37,New,0.12,Credit Card,Online,103232.51,90844.61,94543.8,-3699.19,Leinster,Leinster-Eve
1071,2023-05-20,Eve,6,Furniture,2831.23,3206.98,Returning,0.06,Bank Transfer,Retail,19241.88,18087.37,16987.38,1099.99,Connacht,Connacht-Eve
1044,2023-02-16,David,22,Food,3373.46,3454.76,Returning,0.22,Bank Transfer,Retail,76004.72,59283.68,74216.12,-14932.44,Munster,Munster-David
1008,2023-01-01,Eve,38,Clothing,4635.23,5075.44,Returning,0.05,Cash,Online,192866.71999999997,183223.38,176138.74,7084.64,Ulster,Ulster-Eve
1047,2023-03-31,Alice,37,Electronics,3114.88,3256.78,Returning,0.26,Credit Card,Online,120500.86,89170.64,115250.56,-26079.92,Leinster,Leinster-Alice
1035,2023-05-22,Alice,45,Food,4132.79,4624.1,New,0.15,Credit Card,Retail,208084.50000000003,176871.82,185975.55,-9103.73,Munster,Munster-Alice
1078,2023-11-16,David,8,Furniture,3459.61,3657.23,Returning,0.03,Bank Transfer,Online,29257.84,28380.1,27676.88,703.22,Leinster,Leinster-David
1081,2023-02-07,David,41,Furniture,2782.08,2879.24,New,0.21,Bank Transfer,Online,118048.84,93258.58,114065.28,-20806.7,Leinster,Leinster-David
1036,2023-10-20,David,49,Clothing,1247.1,1429.44,New,0.16,Cash,Online,70042.56,58835.75,61107.899999999994,-2272.15,Ulster,Ulster-David
1050,2023-05-19,Charlie,35,Clothing,2158.69,2384.38,Returning,0.09,Bank Transfer,Retail,83453.3,75942.5,75554.15000000001,388.35,Leinster,Leinster-Charlie
1004,2023-12-22,Eve,11,Clothing,4840.33,4884.29,New,0.13,Cash,Online,53727.19,46742.66,53243.63,-6500.97,Ulster,Ulster-Eve
1002,2023-11-29,David,24,Furniture,3305.94,3599.27,New,0.09,Credit Card,Retail,86382.48,78608.06,79342.56,-734.5,Ulster,Ulster-David
1006,2023-09-16,Bob,49,Food,2843.76,3146.6,New,0.08,Cash,Retail,154183.4,141848.73,139344.24000000002,2504.49,Ulster,Ulster-Bob
1054,2023-06-10,Bob,21,Furniture,4668.14,5040.22,New,0.05,Bank Transfer,Online,105844.62000000001,100552.39,98030.94,2521.45,Munster,Munster-Bob
1004,2023-06-27,Alice,2,Electronics,2953.23,2977.52,Returning,0.11,Credit Card,Retail,5955.04,5299.99,5906.46,-606.47,Connacht,Connacht-Alice
1054,2023-01-10,Eve,40,Furniture,2654.11,2929.32,Returning,0.08,Cash,Online,117172.8,107798.98,106164.40000000001,1634.58,Munster,Munster-Eve
1093,2023-09-18,David,19,Electronics,3808.59,3844.51,New,0.21,Credit Card,Online,73045.69,57706.1,72363.21,-14657.11,Connacht,Connacht-David
1063,2023-05-18,Bob,39,Food,3577.69,3931.25,Returning,0.21,Cash,Retail,153318.75,121121.81,139529.91,-18408.1,Connacht,Connacht-Bob
1018,2023-06-21,Eve,28,Clothing,1006.14,1043.45,New,0.15,Bank Transfer,Retail,29216.600000000002,24834.11,28171.92,-3337.81,Ulster,Ulster-Eve
1090,2023-01-13,Alice,17,Clothing,2382.98,2839.73,Returning,0.23,Bank Transfer,Retail,48275.41,37172.07,40510.66,-3338.59,Leinster,Leinster-Alice
1044,2023-06-17,Charlie,6,Furniture,2388.95,2742.97,Returning,0.25,Credit Card,Retail,16457.82,12343.36,14333.699999999999,-1990.34,Ulster,Ulster-Charlie
1034,2023-05-10,Eve,19,Clothing,1922.21,2180.83,Returning,0.17,Credit Card,Retail,41435.77,34391.69,36521.99,-2130.3,Leinster,Leinster-Eve
1074,2023-03-25,Eve,38,Food,2610.6,2836.94,Returning,0.19,Credit Card,Online,107803.72,87321.01,99202.8,-11881.79,Connacht,Connacht-Eve
1062,2023-11-17,Charlie,28,Clothing,2094.88,2168.91,Returning,0.08,Cash,Retail,60729.479999999996,55871.12,58656.64,-2785.52,Ulster,Ulster-Charlie
1100,2023-11-15,Eve,2,Furniture,1036.76,1189.35,New,0.27,Bank Transfer,Online,2378.7,1736.45,2073.52,-337.07,Leinster,Leinster-Eve
1014,2023-04-11,Alice,38,Food,2091.21,2527.0,Returning,0.01,Credit Card,Online,96026.0,95065.74,79465.98,15599.76,Munster,Munster-Alice
1095,2023-11-25,Alice,37,Electronics,407.77,860.95,New,0.1,Credit Card,Retail,31855.15,28669.64,15087.49,13582.15,Leinster,Leinster-Alice
1048,2023-09-30,Charlie,4,Furniture,2900.14,2910.51,New,0.22,Credit Card,Retail,11642.04,9080.79,11600.56,-2519.77,Ulster,Ulster-Charlie
1015,2023-09-22,David,22,Electronics,4275.59,4576.72,Returning,0.02,Cash,Retail,100687.84000000001,98674.08,94062.98000000001,4611.1,Munster,Munster-David
1072,2023-02-07,Bob,26,Food,3640.17,4002.63,New,0.05,Credit Card,Retail,104068.38,98864.96,94644.42,4220.54,Leinster,Leinster-Bob
1078,2023-04-04,David,49,Furniture,1833.95,2147.14,Returning,0.18,Credit Card,Retail,105209.86,86272.09,89863.55,-3591.46,Leinster,Leinster-David
1087,2023-04-05,Eve,43,Furniture,481.0,531.02,New,0.17,Cash,Online,22833.86,18952.1,20683.0,-1730.9,Leinster,Leinster-Eve
1062,2023-11-01,Bob,36,Food,1050.64,1167.33,New,0.22,Cash,Online,42023.88,32778.63,37823.04,-5044.41,Leinster,Leinster-Bob
1040,2023-03-10,Charlie,13,Clothing,2750.18,2882.85,Returning,0.24,Credit Card,Online,37477.049999999996,28482.56,35752.34,-7269.78,Leinster,Leinster-Charlie
1085,2023-11-14,Charlie,32,Furniture,1074.93,1492.48,Returning,0.04,Credit Card,Retail,47759.36,45848.99,34397.76,11451.23,Munster,Munster-Charlie
1080,2023-08-24,Bob,17,Furniture,2742.67,2979.64,Returning,0.01,Cash,Retail,50653.88,50147.34,46625.39,3521.95,Connacht,Connacht-Bob
1082,2023-11-30,Alice,41,Electronics,1196.42,1444.97,Returning,0.21,Bank Transfer,Online,59243.770000000004,46802.58,49053.22,-2250.64,Munster,Munster-Alice
1053,2023-05-17,Bob,36,Clothing,4252.17,4720.27,New,0.09,Cash,Retail,169929.72000000003,154636.05,153078.12,1557.93,Munster,Munster-Bob
1024,2023-03-17,Eve,46,Electronics,2016.49,2338.66,Returning,0.19,Bank Transfer,Retail,107578.35999999999,87138.47,92758.54,-5620.07,Munster,Munster-Eve
1026,2023-02-04,Alice,19,Electronics,1265.48,1715.83,New,0.05,Credit Card,Retail,32600.769999999997,30970.73,24044.12,6926.61,Connacht,Connacht-Alice
1089,2023-01-01,Charlie,35,Clothing,4071.01,4304.7,New,0.14,Credit Card,Online,150664.5,129571.47,142485.35,-12913.88,Ulster,Ulster-Charlie
1060,2023-10-23,Bob,46,Clothing,1747.05,1830.27,New,0.15,Bank Transfer,Retail,84192.42,71563.56,80364.3,-8800.74,Connacht,Connacht-Bob
1041,2023-11-16,David,40,Food,601.86,1067.53,New,0.18,Cash,Online,42701.2,35014.98,24074.4,10940.58,Munster,Munster-David
1029,2023-03-01,David,28,Clothing,2873.53,3108.3,New,0.15,Credit Card,Retail,87032.40000000001,73977.54,80458.84000000001,-6481.3,Leinster,Leinster-David
1015,2023-11-16,Eve,1,Furniture,2928.74,3027.74,New,0.15,Bank Transfer,Retail,3027.74,2573.58,2928.74,-355.16,Leinster,Leinster-Eve
1045,2023-12-15,David,42,Clothing,3587.74,3745.91,Returning,0.1,Cash,Online,157328.22,141595.4,150685.08,-9089.68,Munster,Munster-David
1065,2023-11-24,Bob,18,Food,1239.09,1273.98,New,0.02,Bank Transfer,Retail,22931.64,22473.01,22303.62,169.39,Leinster,Leinster-Bob
1089,2023-09-24,Bob,48,Food,2246.67,2486.14,New,0.03,Cash,Retail,119334.72,115754.68,107840.16,7914.52,Munster,Munster-Bob
1071,2023-12-27,David,40,Food,1447.72,1875.75,New,0.13,Cash,Retail,75030.0,65276.1,57908.8,7367.3,Leinster,Leinster-David
1009,2023-08-17,Bob,33,Clothing,450.72,918.17,Returning,0.11,Cash,Online,30299.609999999997,26966.65,14873.76,12092.89,Connacht,Connacht-Bob
1088,2023-09-27,Eve,12,Clothing,4389.24,4856.22,Returning,0.15,Cash,Retail,58274.64,49533.44,52670.88,-3137.44,Ulster,Ulster-Eve
1001,2023-11-12,Alice,8,Electronics,3657.91,3729.27,New,0.09,Bank Transfer,Retail,29834.16,27149.09,29263.28,-2114.19,Ulster,Ulster-Alice
1008,2023-10-13,Eve,24,Electronics,1542.24,1739.45,Returning,0.21,Bank Transfer,Retail,41746.8,32979.97,37013.76,-4033.79,Connacht,Connacht-Eve
1088,2023-10-18,Eve,16,Furniture,3016.9,3040.73,New,0.26,Bank Transfer,Retail,48651.68,36002.24,48270.4,-12268.16,Connacht,Connacht-Eve
1063,2023-08-01,Bob,4,Electronics,1046.26,1475.29,Returning,0.09,Bank Transfer,Retail,5901.16,5370.06,4185.04,1185.02,Munster,Munster-Bob
1011,2023-06-14,Alice,38,Furniture,4456.67,4642.46,New,0.06,Bank Transfer,Online,176413.48,165828.67,169353.46,-3524.79,Munster,Munster-Alice
1081,2023-01-05,Bob,44,Food,618.79,938.04,Returning,0.03,Cash,Online,41273.759999999995,40035.55,27226.76,12808.79,Munster,Munster-Bob
1008,2023-12-05,Charlie,27,Electronics,68.99,429.29,Returning,0.18,Credit Card,Retail,11590.83,9504.48,1862.7299999999998,7641.75,Leinster,Leinster-Charlie
1035,2023-03-19,Bob,9,Clothing,2534.94,2755.56,Returning,0.13,Credit Card,Retail,24800.04,21576.03,22814.46,-1238.43,Munster,Munster-Bob
1035,2023-03-03,Bob,47,Electronics,2936.48,3096.64,New,0.06,Bank Transfer,Online,145542.08,136809.56,138014.56,-1205.0,Connacht,Connacht-Bob
1033,2023-05-12,Bob,16,Furniture,2915.88,3397.36,New,0.2,Bank Transfer,Retail,54357.76,43486.21,46654.08,-3167.87,Ulster,Ulster-Bob
1005,2023-03-30,Alice,12,Electronics,319.83,802.43,New,0.04,Credit Card,Retail,9629.16,9243.99,3837.96,5406.03,Leinster,Leinster-Alice
1041,2023-08-25,Bob,31,Food,1604.52,1756.34,Returning,0.17,Cash,Retail,54446.54,45190.63,49740.12,-4549.49,Munster,Munster-Bob
1028,2023-02-11,Alice,24,Clothing,2521.03,2766.05,Returning,0.16,Bank Transfer,Retail,66385.20000000001,55763.57,60504.72,-4741.15,Leinster,Leinster-Alice
1007,2023-03-30,David,14,Furniture,1122.07,1608.76,New,0.22,Cash,Retail,22522.64,17567.66,15708.98,1858.68,Leinster,Leinster-David
1073,2023-10-23,Charlie,45,Clothing,4369.5,4381.89,Returning,0.02,Credit Card,Retail,197185.05000000002,193241.35,196627.5,-3386.15,Munster,Munster-Charlie
1072,2023-11-24,Alice,25,Clothing,481.19,693.4,New,0.27,Credit Card,Retail,17335.0,12654.55,12029.75,624.8,Leinster,Leinster-Alice
1012,2023-10-22,David,34,Furniture,2462.55,2521.77,New,0.21,Bank Transfer,Retail,85740.18,67734.74,83726.70000000001,-15991.96,Ulster,Ulster-David
1034,2023-04-14,Alice,3,Clothing,3472.51,3732.0,New,0.06,Cash,Online,11196.0,10524.24,10417.53,106.71,Connacht,Connacht-Alice
1033,2023-01-14,Alice,24,Clothing,1345.67,1367.76,New,0.06,Bank Transfer,Online,32826.24,30856.67,32296.08,-1439.41,Connacht,Connacht-Alice
1048,2023-10-15,Charlie,42,Electronics,3139.99,3349.37,Returning,0.13,Credit Card,Retail,140673.54,122385.98,131879.58,-9493.6,Ulster,Ulster-Charlie
1023,2023-06-28,Eve,9,Clothing,4155.46,4273.6,Returning,0.25,Cash,Retail,38462.4,28846.8,37399.14,-8552.34,Leinster,Leinster-Eve
1062,2023-05-05,Eve,26,Clothing,992.17,1263.49,Returning,0.25,Bank Transfer,Retail,32850.74,24638.06,25796.42,-1158.36,Munster,Munster-Eve
1088,2023-12-19,Alice,20,Clothing,4590.24,5088.28,New,0.16,Bank Transfer,Retail,101765.59999999999,85483.1,91804.79999999999,-6321.7,Leinster,Leinster-Alice
1037,2023-01-23,Bob,40,Clothing,2790.11,3192.37,Returning,0.26,Bank Transfer,Online,127694.79999999999,94494.15,111604.40000000001,-17110.25,Ulster,Ulster-Bob
1099,2023-03-04,David,10,Furniture,1531.2,1955.56,New,0.0,Credit Card,Online,19555.6,19555.6,15312.0,4243.6,Leinster,Leinster-David
1044,2023-05-23,Bob,19,Food,2182.75,2504.03,New,0.01,Bank Transfer,Online,47576.57000000001,47100.8,41472.25,5628.55,Connacht,Connacht-Bob
1086,2023-06-02,Bob,3,Electronics,1595.35,1625.71,New,0.27,Cash,Online,4877.13,3560.3,4786.049999999999,-1225.75,Leinster,Leinster-Bob
1091,2023-05-25,Alice,24,Clothing,3639.3,3750.63,New,0.23,Bank Transfer,Retail,90015.12,69311.64,87343.20000000001,-18031.56,Ulster,Ulster-Alice
1035,2023-08-13,Alice,5,Clothing,3991.69,4454.97,New,0.14,Credit Card,Retail,22274.850000000002,19156.37,19958.45,-802.08,Connacht,Connacht-Alice
1065,2023-11-05,Alice,3,Furniture,4173.04,4362.44,New,0.23,Bank Transfer,Retail,13087.32,10077.24,12519.119999999999,-2441.88,Leinster,Leinster-Alice
1099,2023-04-14,Alice,27,Food,4929.55,4990.33,Returning,0.29,Credit Card,Online,134738.91,95664.63,133097.85,-37433.22,Leinster,Leinster-Alice
1047,2023-04-14,Eve,16,Clothing,3966.86,4321.04,Returning,0.23,Credit Card,Retail,69136.64,53235.21,63469.76,-10234.55,Connacht,Connacht-Eve
1078,2023-02-08,Alice,49,Furniture,3026.85,3183.58,Returning,0.25,Cash,Retail,155995.41999999998,116996.56,148315.65,-31319.09,Munster,Munster-Alice
1003,2023-07-17,Eve,15,Electronics,1729.14,1870.88,Returning,0.23,Cash,Online,28063.2,21608.66,25937.100000000002,-4328.44,Connacht,Connacht-Eve
1001,2023-05-14,Eve,35,Electronics,2745.75,3244.76,New,0.05,Bank Transfer,Online,113566.6,107888.27,96101.25,11787.02,Munster,Munster-Eve
1005,2023-03-08,Alice,12,Clothing,253.29,683.78,New,0.25,Credit Card,Online,8205.36,6154.02,3039.48,3114.54,Ulster,Ulster-Alice
1090,2023-06-28,Charlie,41,Clothing,3736.88,3946.77,Returning,0.06,Credit Card,Online,161817.57,152108.52,153212.08000000002,-1103.56,Ulster,Ulster-Charlie
1014,2023-02-11,David,44,Food,2257.48,2747.81,Returning,0.27,Cash,Online,120903.64,88259.66,99329.12,-11069.46,Connacht,Connacht-David
1027,2023-01-15,Bob,26,Food,149.11,477.67,Returning,0.14,Cash,Retail,12419.42,10680.7,3876.8600000000006,6803.84,Connacht,Connacht-Bob
1009,2023-04-21,Eve,47,Clothing,359.41,733.0,Returning,0.2,Bank Transfer,Retail,34451.0,27560.8,16892.27,10668.53,Ulster,Ulster-Eve
1079,2023-06-06,David,34,Furniture,1967.96,1993.4,Returning,0.15,Credit Card,Online,67775.6,57609.26,66910.64,-9301.38,Munster,Munster-David
1015,2023-10-16,Charlie,23,Food,2937.94,3007.53,Returning,0.03,Cash,Retail,69173.19,67097.99,67572.62,-474.63,Ulster,Ulster-Charlie
1090,2023-08-19,Bob,31,Clothing,2347.81,2668.02,Returning,0.09,Bank Transfer,Retail,82708.62,75264.84,72782.11,2482.73,Connacht,Connacht-Bob
1042,2023-06-06,Bob,20,Food,3115.06,3565.58,Returning,0.3,Credit Card,Retail,71311.6,49918.12,62301.2,-12383.08,Ulster,Ulster-Bob
1077,2023-02-07,Eve,12,Clothing,2427.46,2743.09,New,0.29,Credit Card,Retail,32917.08,23371.13,29129.52,-5758.39,Connacht,Connacht-Eve
1051,2023-04-07,Alice,23,Electronics,3325.43,3401.1,New,0.1,Cash,Online,78225.3,70402.77,76484.89,-6082.12,Connacht,Connacht-Alice
1063,2023-10-16,Charlie,4,Clothing,1134.67,1201.39,New,0.3,Bank Transfer,Retail,4805.56,3363.89,4538.68,-1174.79,Ulster,Ulster-Charlie
1096,2023-09-11,Eve,23,Electronics,608.57,1032.22,New,0.25,Cash,Retail,23741.06,17805.8,13997.11,3808.69,Munster,Munster-Eve
1052,2023-07-15,Charlie,48,Food,3002.35,3080.61,Returning,0.18,Bank Transfer,Retail,147869.28,121252.81,144112.8,-22859.99,Leinster,Leinster-Charlie
1096,2023-03-27,Alice,48,Clothing,2449.21,2714.12,New,0.01,Credit Card,Online,130277.76,128974.98,117562.08,11412.9,Ulster,Ulster-Alice
1004,2023-11-18,Alice,1,Food,182.99,211.18,Returning,0.27,Bank Transfer,Retail,211.18,154.16,182.99,-28.83,Leinster,Leinster-Alice
1094,2023-01-10,Eve,25,Electronics,1933.39,1982.92,New,0.17,Bank Transfer,Online,49573.0,41145.59,48334.75,-7189.16,Ulster,Ulster-Eve
1023,2023-01-05,Alice,2,Clothing,575.32,914.77,Returning,0.26,Bank Transfer,Online,1829.54,1353.86,1150.64,203.22,Leinster,Leinster-Alice
1015,2023-05-03,David,30,Food,2680.22,3027.92,Returning,0.25,Bank Transfer,Online,90837.6,68128.2,80406.59999999999,-12278.4,Munster,Munster-David
